SIZE_LOC,NOM,AVG_METHOD_SIZE,CYCLO_COMPLEXITY,FAN_OUT,NR,FIX_RATE,NAUTH,LOC_ADDED,MAX_LOC_ADDED,CHURN,MAX_CHURN,MAX_CHANGE_SET_SIZE,AVG_MODIFIED_DIRS,CLASS_AGE,AGE_SINCE_LAST_CHANGE,OWNERSHIP_RATIO,CROSS_DIRECTORY_CHANGE_RATIO,NSMELLS,SMELL_DENSITY,Bugginess
37,0,0.000000,0,5,8,0.000000,1,155,53,273,73,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
36,0,0.000000,0,5,8,0.000000,1,153,53,270,72,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
36,0,0.000000,0,5,8,0.000000,1,153,53,270,72,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
41,0,0.000000,0,3,9,0.000000,2,139,35,237,67,1028,37.333333,103,28,0.888889,1.000000,0,0.000000,no
52,0,0.000000,0,4,7,0.000000,2,121,36,190,69,1028,34.571429,56,2,0.714286,0.857143,0,0.000000,no
34,0,0.000000,0,4,8,0.000000,1,128,35,222,65,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
35,0,0.000000,0,5,8,0.000000,1,150,53,265,71,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
35,0,0.000000,0,5,8,0.000000,1,150,53,265,71,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
36,0,0.000000,0,5,8,0.000000,1,153,53,270,72,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
35,0,0.000000,0,5,8,0.000000,1,150,53,265,71,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
34,0,0.000000,0,5,10,0.000000,3,154,53,274,71,1028,32.800000,103,21,0.800000,0.900000,0,0.000000,no
45,0,0.000000,0,7,4,0.000000,1,89,45,133,87,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
45,0,0.000000,0,7,4,0.000000,1,89,45,133,87,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,yes
49,0,0.000000,0,7,4,0.000000,1,97,49,145,95,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
35,0,0.000000,0,5,8,0.000000,1,150,53,265,71,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
36,0,0.000000,0,5,8,0.000000,1,153,53,270,72,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
50,0,0.000000,0,2,3,0.000000,1,50,49,50,49,1028,46.333333,132,124,1.000000,1.000000,0,0.000000,no
48,3,16.000000,4,6,8,0.000000,3,76,50,104,50,1028,26.500000,132,51,0.500000,1.000000,0,0.000000,no
58,0,0.000000,0,7,2,0.000000,1,58,58,58,58,1028,68.500000,132,132,1.000000,1.000000,0,0.000000,no
32,0,0.000000,0,3,9,0.000000,1,135,35,238,64,1028,41.222222,198,132,1.000000,1.000000,0,0.000000,no
78,9,8.666667,9,3,6,0.000000,2,103,61,128,61,1028,27.833333,132,82,0.666667,1.000000,0,0.000000,no
34,1,34.000000,1,0,9,0.000000,1,113,30,192,49,1028,41.222222,198,132,1.000000,1.000000,0,0.000000,no
34,1,34.000000,1,0,9,0.000000,1,113,30,192,49,1028,41.222222,198,132,1.000000,1.000000,0,0.000000,no
41,2,20.500000,2,0,10,0.000000,2,137,35,233,67,1028,37.700000,198,99,0.900000,1.000000,0,0.000000,no
52,4,13.000000,4,1,12,0.000000,2,232,55,412,94,1028,32.166667,198,82,0.750000,1.000000,0,0.000000,no
40,2,20.000000,2,1,11,0.000000,2,197,53,354,94,1028,34.818182,198,82,0.818182,1.000000,0,0.000000,no
